baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65141.64960583658	2.9557199458908032	0.14396471805753558	20.53086329603027	1.1412917060351108e-93	2.613558006820404e-91	ENSG00000160191
19984.33787394048	3.29254124652443	0.1721920996742933	19.121325849167146	1.6778768723245878e-81	1.921169018811653e-79	ENSG00000154734
9241.141839361788	2.7439616070563213	0.17998727248789242	15.245309121737511	1.768937843881118e-52	1.3502892208292533e-50	ENSG00000183145
5644.964482600792	2.9466189130235807	0.20422685003815474	14.428166093112036	3.4410958602713616e-47	1.9700273800053545e-45	ENSG00000142168
11086.867223773055	3.1482758154156443	0.2192705126399198	14.357953459002756	9.49909816174486e-47	4.350586958079146e-45	ENSG00000276289
9475.772842352239	3.238023518298915	0.24183357287343735	13.389470617437894	6.967558815640937e-41	2.6592849479696243e-39	ENSG00000154723
25618.330210307035	2.5717521072251253	0.22179645905834147	11.595099931458554	4.363560286039092e-31	1.4275075792899315e-29	ENSG00000180509
33671.30946072394	3.018806602787461	0.2689371098803042	11.224953685755903	3.0754754623028486e-29	8.803548510841904e-28	ENSG00000156299
2370.2979692736153	1.6224313158586665	0.32103866677539034	5.053694410566983	4.3334477620057e-7	1.1026217083325614e-5	ENSG00000275993
9044.38815699862	2.578772459810609	0.5678936953385839	4.5409422238313795	5.600337861220798e-6	1.2824773702195628e-4	ENSG00000142178
291.07002853568736	-1.2950561482858118	0.3264642149985686	-3.9669160930593574	7.280861048397205e-5	0.0015157428909845089	ENSG00000222018
438.5374886177538	-1.2134708123337958	0.3173693212137367	-3.823529028240784	1.315550954459676e-4	0.0025105097380938813	ENSG00000215455
1445.2833260119803	-0.6311444796779782	0.205429268231335	-3.072320147522713	0.002124017864156382	0.03741539160706243	ENSG00000166351
659.9180750536665	1.0023229030920562	0.34803907556111463	2.8799148528828087	0.003977825840626248	0.06506586553595792	ENSG00000156284
3338.806319167636	0.45694648750419875	0.17139611083111078	2.6660259984222265	0.007675375707467602	0.11717740246733872	ENSG00000157557
7386.423608011411	0.4024407290972485	0.1596072464173759	2.5214439703123412	0.011687428669934248	0.16727632283843394	ENSG00000160183
4443.216063398175	0.374612297516247	0.1677984389438954	2.2325136030705344	0.02558103718652408	0.33453274953034623	ENSG00000154721
6913.032564486503	-0.5780982370159637	0.2610081440958388	-2.214866662565493	0.02676921793498509	0.33453274953034623	ENSG00000171587
494.7692843563707	0.5533522841278793	0.254907951684685	2.1707925565710195	0.029946856862508694	0.33453274953034623	ENSG00000276612
8144.820289082111	-0.39646499170109034	0.182855373309903	-2.168188905387878	0.03014431660311812	0.33453274953034623	ENSG00000205581
1388.2325159817872	-0.5221687433853003	0.241607349514679	-2.16122872269486	0.030677675721123454	0.33453274953034623	ENSG00000205929
8129.753003747668	0.3847421798641343	0.1880904088360284	2.0455172714284493	0.04080388821934381	0.4125818666472335	ENSG00000157542
1277.450039352938	-0.5343655699842343	0.2620573384876339	-2.0391169851152644	0.04143835341871777	0.4125818666472335	ENSG00000160284
434.8827503096668	0.7368645740654154	0.39762691431614117	1.853155678188214	0.06386004830020316	0.6093312941977718	ENSG00000221859
3054.335742776705	-0.37768942797983784	0.20591360921249166	-1.8342130441222215	0.0666223758978856	0.6102609632246321	ENSG00000142149
26598.23707267714	-0.30725595217442114	0.17050596566918974	-1.8020246445250447	0.07154152826155705	0.6301157681498679	ENSG00000182670
8366.383392469388	-0.36425100081414463	0.20737494805753176	-1.7564850731781303	0.07900561796352357	0.6700846856906257	ENSG00000160285
2285.058286995057	-0.5251205700324555	0.3076708557305327	-1.7067608460528731	0.08786651265468359	0.7186225499258051	ENSG00000249624
13813.357439760803	1.437896999399392	0.8649038468313114	1.6624934721556808	0.09641387114374018	0.7265895446575683	ENSG00000141959
4061.927471268246	-0.27060216561274647	0.16516622293253713	-1.6383626192340495	0.10134607210399336	0.7265895446575683	ENSG00000160226
5357.787421810436	-0.42520215547927653	0.2636818674140926	-1.6125574338850097	0.10684069254944945	0.7265895446575683	ENSG00000184012
151.75140702203183	0.7933828025196311	0.497491339811956	1.594767062316135	0.11076433515619129	0.7265895446575683	ENSG00000244025
5682.32452965222	-0.2695437499933808	0.16933172481488265	-1.591808919964952	0.111427645295928	0.7265895446575683	ENSG00000166979
8754.190386500724	-0.25805362097892737	0.16394493439107952	-1.5740261932299657	0.1154813940350817	0.7265895446575683	ENSG00000173276
4384.609434281239	-0.392208850849831	0.2524422053641357	-1.5536579958334964	0.12026601744756156	0.7265895446575683	ENSG00000156239
8136.592480569585	-0.23798240873352702	0.15319051873822992	-1.5535061222698021	0.12030226777443662	0.7265895446575683	ENSG00000186866
7780.154161721548	0.27280254498151213	0.1762705027809243	1.5476358249262019	0.12171000101355528	0.7265895446575683	ENSG00000160201
294.41006346907557	-0.5453657956994755	0.3565251169822383	-1.529670056111769	0.12609841909590241	0.7265895446575683	ENSG00000159197
3709.6194819731386	0.2732724914971214	0.1791358513488227	1.5255041882430944	0.12713338970514698	0.7265895446575683	ENSG00000142188
1101.9230765685336	-0.434449550605194	0.28742536110519235	-1.5115212830721418	0.13065569027101345	0.7265895446575683	ENSG00000285815
9859.15682380458	0.2754805316490502	0.18352712266114776	1.5010344392402373	0.13334665419973077	0.7265895446575683	ENSG00000182871
803.4273803314327	0.3434159892984142	0.22944313353336632	1.4967368341335594	0.13446174790993434	0.7265895446575683	ENSG00000183036
3351.324899477092	-0.2940133137381665	0.19742993830394512	-1.4892032903618218	0.13643384463002375	0.7265895446575683	ENSG00000243646
